Data Sorteio,Bola1 sorteio 1,Bola2 sorteio 1,Bola3 sorteio 1,Bola4 Sorteio 1,Bola5 sorteio 1,Bola6 sorteio 1,Bola1 sorteio 2,Bola2 sorteio 2,Bola3 sorteio 2,Bola4 Sorteio 2,Bola5 sorteio 2,Bola6 sorteio 2
06/11/2001,7,15,24,41,48,50,9,37,41,43,44,49
09/11/2001,4,9,11,32,38,42,9,13,19,24,29,46
13/11/2001,11,34,42,44,45,47,12,24,30,40,47,48
16/11/2001,29,38,43,44,46,50,2,7,11,44,46,49
20/11/2001,7,12,16,25,32,40,3,10,12,19,26,49
23/11/2001,9,13,14,16,31,41,2,31,35,36,42,47
27/11/2001,6,9,17,23,24,32,5,8,28,30,32,45
30/11/2001,11,24,29,32,38,39,2,14,17,30,31,39
04/12/2001,10,18,22,37,42,44,10,26,31,37,42,46
07/12/2001,17,19,31,34,39,44,4,5,11,20,24,40
11/12/2001,2,4,8,27,36,43,5,8,17,40,43,45
14/12/2001,12,21,28,29,45,48,15,18,19,20,25,31
18/12/2001,1,3,31,33,37,46,4,13,31,43,47,49
21/12/2001,6,7,33,38,39,47,5,12,14,16,19,26
28/12/2001,4,30,32,40,43,44,7,13,20,23,28,34
04/01/2002,19,21,25,26,41,46,5,6,22,27,31,38
08/01/2002,3,5,14,43,44,47,1,2,27,36,37,43
11/01/2002,15,27,28,35,41,50,1,13,14,22,23,38
15/01/2002,5,10,19,25,33,34,15,24,27,32,39,47
18/01/2002,7,13,16,26,45,49,18,25,39,43,47,48
22/01/2002,6,14,17,30,37,44,6,9,14,20,24,26
25/01/2002,2,17,27,29,34,42,7,13,28,34,42,43
29/01/2002,8,9,10,11,22,42,4,7,8,20,34,37
01/02/2002,19,24,25,26,42,44,1,6,11,15,16,36
05/02/2002,6,15,30,35,42,46,19,23,24,33,41,44
08/02/2002,2,4,8,17,23,38,4,19,26,39,48,49
15/02/2002,5,7,19,29,32,35,3,28,37,42,44,47
19/02/2002,1,10,13,22,26,38,27,30,31,34,40,49
22/02/2002,1,12,19,23,39,50,16,25,35,41,45,47
26/02/2002,8,18,21,33,36,46,3,5,13,15,28,43
01/03/2002,5,19,20,29,32,43,31,35,36,46,47,49
05/03/2002,18,20,24,30,39,47,6,12,14,25,26,39
08/03/2002,11,16,17,19,24,32,13,21,22,25,33,49
12/03/2002,1,7,29,40,41,45,1,15,22,24,29,45
15/03/2002,1,2,6,26,30,45,7,8,13,28,33,47
19/03/2002,9,12,14,17,22,50,2,13,41,42,44,45
22/03/2002,11,25,33,45,47,48,10,11,29,30,45,47
